name,area_code,region_code,rate,charge
Contract A,1001,2,A,146
Contract A,1001,2,B,120
Contract A,1001,2,C,120
Contract A,1001,2,D,120
Contract A,1001,2,E,278
Contract A,1002,3,A,0
Contract A,1002,3,B,260
Contract A,1002,3,C,260
Contract A,1002,3,D,260
Contract A,1002,3,E,0
Contract A,1003,3,A,0
Contract A,1003,3,B,276
Contract A,1003,3,C,276
Contract A,1003,3,D,276
Contract A,1003,3,E,0
Contract A,2001,2,A,270
Contract A,2001,2,B,170
Contract A,2001,2,C,170
Contract A,2001,2,D,170
Contract A,2001,2,E,397
Contract A,2002,3,A,0
Contract A,2002,3,B,266
Contract A,2002,3,C,266
Contract A,2002,3,D,266
Contract A,2002,3,E,0
Contract A,2003,3,A,0
Contract A,2003,3,B,260
Contract A,2003,3,C,260
Contract A,2003,3,D,260
Contract A,2003,3,E,0
Contract A,2004,4,A,0
Contract A,2004,4,B,315
Contract A,2004,4,C,315
Contract A,2004,4,D,315
Contract A,2004,4,E,0
Contract A,2005,4,A,0
Contract A,2005,4,B,380
Contract A,2005,4,C,380
Contract A,2005,4,D,380
Contract A,2005,4,E,0
Contract A,2006,2,A,185
Contract A,2006,2,B,125
Contract A,2006,2,C,125
Contract A,2006,2,D,125
Contract A,2006,2,E,268
Contract A,2007,4,A,0
Contract A,2007,4,B,296
Contract A,2007,4,C,296
Contract A,2007,4,D,296
Contract A,2007,4,E,0
Contract A,2008,2,A,200
Contract A,2008,2,B,132
Contract A,2008,2,C,132
Contract A,2008,2,D,132
Contract A,2008,2,E,340
Contract A,2009,4,A,0
Contract A,2009,4,B,290
Contract A,2009,4,C,290
Contract A,2009,4,D,290
Contract A,2009,4,E,0
Contract A,2010,4,A,0
Contract A,2010,4,B,353
Contract A,2010,4,C,353
Contract A,2010,4,D,353
Contract A,2010,4,E,0
Contract A,2011,3,A,363
Contract A,2011,3,B,202
Contract A,2011,3,C,202
Contract A,2011,3,D,202
Contract A,2011,3,E,0
Contract A,2012,3,A,0
Contract A,2012,3,B,265
Contract A,2012,3,C,265
Contract A,2012,3,D,265
Contract A,2012,3,E,0
Contract A,2013,3,A,0
Contract A,2013,3,B,223
Contract A,2013,3,C,223
Contract A,2013,3,D,223
Contract A,2013,3,E,0
Contract A,2014,3,A,0
Contract A,2014,3,B,280
Contract A,2014,3,C,280
Contract A,2014,3,D,280
Contract A,2014,3,E,0
Contract A,2015,1,A,132
Contract A,2015,1,B,97
Contract A,2015,1,C,97
Contract A,2015,1,D,97
Contract A,2015,1,E,200
Contract A,2016,2,A,89
Contract A,2016,2,B,0
Contract A,2016,2,C,0
Contract A,2016,2,D,0
Contract A,2016,2,E,145
Contract A,2017,7,A,0
Contract A,2017,7,B,0
Contract A,2017,7,C,0
Contract A,2017,7,D,0
Contract A,2017,7,E,0
Contract A,2019,10,A,0
Contract A,2019,10,B,300
Contract A,2019,10,C,300
Contract A,2019,10,D,300
Contract A,2019,10,E,0
Contract A,2021,5,A,0
Contract A,2021,5,B,600
Contract A,2021,5,C,600
Contract A,2021,5,D,600
Contract A,2021,5,E,0
Contract A,2022,17,A,0
Contract A,2022,17,B,312
Contract A,2022,17,C,312
Contract A,2022,17,D,312
Contract A,2022,17,E,0
Contract A,3001,3,A,0
Contract A,3001,3,B,290
Contract A,3001,3,C,290
Contract A,3001,3,D,290
Contract A,3001,3,E,0
Contract A,3002,2,A,257
Contract A,3002,2,B,166
Contract A,3002,2,C,166
Contract A,3002,2,D,166
Contract A,3002,2,E,419
Contract A,3003,2,A,200
Contract A,3003,2,B,132
Contract A,3003,2,C,132
Contract A,3003,2,D,132
Contract A,3003,2,E,296
Contract A,3004,2,A,205
Contract A,3004,2,B,138
Contract A,3004,2,C,138
Contract A,3004,2,D,138
Contract A,3004,2,E,329
Contract A,3005,2,A,93
Contract A,3005,2,B,76
Contract A,3005,2,C,76
Contract A,3005,2,D,76
Contract A,3005,2,E,0
Contract A,3006,2,A,93
Contract A,3006,2,B,0
Contract A,3006,2,C,0
Contract A,3006,2,D,0
Contract A,3006,2,E,0
Contract A,3007,3,A,0
Contract A,3007,3,B,260
Contract A,3007,3,C,260
Contract A,3007,3,D,260
Contract A,3007,3,E,0
Contract A,3008,2,A,146
Contract A,3008,2,B,120
Contract A,3008,2,C,120
Contract A,3008,2,D,120
Contract A,3008,2,E,278
Contract A,3009,2,A,270
Contract A,3009,2,B,170
Contract A,3009,2,C,170
Contract A,3009,2,D,170
Contract A,3009,2,E,397
Contract A,3010,2,A,257
Contract A,3010,2,B,202
Contract A,3010,2,C,202
Contract A,3010,2,D,202
Contract A,3010,2,E,419
Contract A,3011,2,A,315
Contract A,3011,2,B,172
Contract A,3011,2,C,172
Contract A,3011,2,D,172
Contract A,3011,2,E,0
Contract A,3012,2,A,200
Contract A,3012,2,B,132
Contract A,3012,2,C,132
Contract A,3012,2,D,132
Contract A,3012,2,E,340
Contract A,3013,2,A,200
Contract A,3013,2,B,132
Contract A,3013,2,C,132
Contract A,3013,2,D,132
Contract A,3013,2,E,340
Contract A,3014,2,A,0
Contract A,3014,2,B,0
Contract A,3014,2,C,0
Contract A,3014,2,D,0
Contract A,3014,2,E,0
Contract A,3015,2,A,200
Contract A,3015,2,B,132
Contract A,3015,2,C,132
Contract A,3015,2,D,132
Contract A,3015,2,E,296
Contract A,3016,2,A,320
Contract A,3016,2,B,212
Contract A,3016,2,C,212
Contract A,3016,2,D,212
Contract A,3016,2,E,0
Contract A,3017,2,A,200
Contract A,3017,2,B,132
Contract A,3017,2,C,132
Contract A,3017,2,D,132
Contract A,3017,2,E,340
Contract A,3018,2,A,177
Contract A,3018,2,B,126
Contract A,3018,2,C,126
Contract A,3018,2,D,126
Contract A,3018,2,E,290
Contract A,3019,2,A,177
Contract A,3019,2,B,126
Contract A,3019,2,C,126
Contract A,3019,2,D,126
Contract A,3019,2,E,290
Contract A,3021,1,A,132
Contract A,3021,1,B,97
Contract A,3021,1,C,97
Contract A,3021,1,D,97
Contract A,3021,1,E,200
Contract A,3022,2,A,89
Contract A,3022,2,B,0
Contract A,3022,2,C,0
Contract A,3022,2,D,0
Contract A,3022,2,E,145
Contract A,4001,5,A,0
Contract A,4001,5,B,600
Contract A,4001,5,C,600
Contract A,4001,5,D,600
Contract A,4001,5,E,0
Contract A,4002,2,A,177
Contract A,4002,2,B,126
Contract A,4002,2,C,126
Contract A,4002,2,D,126
Contract A,4002,2,E,290
Contract A,4003,3,A,0
Contract A,4003,3,B,256
Contract A,4003,3,C,256
Contract A,4003,3,D,256
Contract A,4003,3,E,0
Contract A,7001,2,A,295
Contract A,7001,2,B,198
Contract A,7001,2,C,198
Contract A,7001,2,D,198
Contract A,7001,2,E,0
Contract A,7002,4,A,0
Contract A,7002,4,B,292
Contract A,7002,4,C,292
Contract A,7002,4,D,292
Contract A,7002,4,E,0
Contract A,7003,71,A,0
Contract A,7003,71,B,0
Contract A,7003,71,C,0
Contract A,7003,71,D,0
Contract A,7003,71,E,0
Contract A,9001,2,A,309
Contract A,9001,2,B,171
Contract A,9001,2,C,171
Contract A,9001,2,D,171
Contract A,9001,2,E,0
Contract A,10001,1,A,147
Contract A,10001,1,B,116
Contract A,10001,1,C,116
Contract A,10001,1,D,116
Contract A,10001,1,E,248
Contract A,10002,1,A,147
Contract A,10002,1,B,116
Contract A,10002,1,C,116
Contract A,10002,1,D,116
Contract A,10002,1,E,248
Contract A,10003,1,A,147
Contract A,10003,1,B,116
Contract A,10003,1,C,116
Contract A,10003,1,D,116
Contract A,10003,1,E,248
Contract A,10004,1,A,147
Contract A,10004,1,B,116
Contract A,10004,1,C,116
Contract A,10004,1,D,116
Contract A,10004,1,E,248
Contract A,10005,1,A,147
Contract A,10005,1,B,116
Contract A,10005,1,C,116
Contract A,10005,1,D,116
Contract A,10005,1,E,248
Contract A,10006,1,A,147
Contract A,10006,1,B,116
Contract A,10006,1,C,116
Contract A,10006,1,D,116
Contract A,10006,1,E,248
Contract A,10511,2,A,177
Contract A,10511,2,B,126
Contract A,10511,2,C,126
Contract A,10511,2,D,126
Contract A,10511,2,E,290
Contract A,10901,2,A,309
Contract A,10901,2,B,171
Contract A,10901,2,C,171
Contract A,10901,2,D,171
Contract A,10901,2,E,0
Contract A,10902,4,A,0
Contract A,10902,4,B,353
Contract A,10902,4,C,353
Contract A,10902,4,D,353
Contract A,10902,4,E,0
Contract A,10903,3,A,0
Contract A,10903,3,B,275
Contract A,10903,3,C,275
Contract A,10903,3,D,275
Contract A,10903,3,E,0
Contract A,10904,4,A,0
Contract A,10904,4,B,287
Contract A,10904,4,C,287
Contract A,10904,4,D,287
Contract A,10904,4,E,0
Contract A,11001,4,A,0
Contract A,11001,4,B,295
Contract A,11001,4,C,295
Contract A,11001,4,D,295
Contract A,11001,4,E,0
Contract A,11002,2,A,205
Contract A,11002,2,B,136
Contract A,11002,2,C,136
Contract A,11002,2,D,136
Contract A,11002,2,E,329
Contract A,11003,3,A,0
Contract A,11003,3,B,280
Contract A,11003,3,C,280
Contract A,11003,3,D,280
Contract A,11003,3,E,0
Contract A,11004,3,A,0
Contract A,11004,3,B,265
Contract A,11004,3,C,265
Contract A,11004,3,D,265
Contract A,11004,3,E,0
Contract A,11005,2,A,360
Contract A,11005,2,B,198
Contract A,11005,2,C,198
Contract A,11005,2,D,198
Contract A,11005,2,E,0
Contract A,11006,3,A,0
Contract A,11006,3,B,266
Contract A,11006,3,C,266
Contract A,11006,3,D,266
Contract A,11006,3,E,0
Contract A,11007,3,A,0
Contract A,11007,3,B,256
Contract A,11007,3,C,256
Contract A,11007,3,D,256
Contract A,11007,3,E,0
Contract A,11008,3,A,0
Contract A,11008,3,B,280
Contract A,11008,3,C,280
Contract A,11008,3,D,280
Contract A,11008,3,E,0
Contract A,11009,3,A,0
Contract A,11009,3,B,280
Contract A,11009,3,C,280
Contract A,11009,3,D,280
Contract A,11009,3,E,0
Contract A,11010,4,A,0
Contract A,11010,4,B,295
Contract A,11010,4,C,295
Contract A,11010,4,D,295
Contract A,11010,4,E,0
Contract A,12001,2,A,200
Contract A,12001,2,B,146
Contract A,12001,2,C,146
Contract A,12001,2,D,146
Contract A,12001,2,E,388
Contract A,12002,4,A,0
Contract A,12002,4,B,315
Contract A,12002,4,C,315
Contract A,12002,4,D,315
Contract A,12002,4,E,0
Contract A,12003,6,A,0
Contract A,12003,6,B,0
Contract A,12003,6,C,0
Contract A,12003,6,D,0
Contract A,12003,6,E,0
Contract A,12004,3,A,0
Contract A,12004,3,B,265
Contract A,12004,3,C,265
Contract A,12004,3,D,265
Contract A,12004,3,E,0
Contract A,12005,4,A,0
Contract A,12005,4,B,292
Contract A,12005,4,C,292
Contract A,12005,4,D,292
Contract A,12005,4,E,0
Contract A,12006,4,A,0
Contract A,12006,4,B,312
Contract A,12006,4,C,312
Contract A,12006,4,D,312
Contract A,12006,4,E,0
Contract A,12007,3,A,363
Contract A,12007,3,B,202
Contract A,12007,3,C,202
Contract A,12007,3,D,202
Contract A,12007,3,E,0
Contract A,13001,4,A,0
Contract A,13001,4,B,295
Contract A,13001,4,C,295
Contract A,13001,4,D,295
Contract A,13001,4,E,0
Contract A,13002,3,A,0
Contract A,13002,3,B,276
Contract A,13002,3,C,276
Contract A,13002,3,D,276
Contract A,13002,3,E,0
Contract A,13003,4,A,0
Contract A,13003,4,B,315
Contract A,13003,4,C,315
Contract A,13003,4,D,315
Contract A,13003,4,E,0
Contract A,13004,2,A,146
Contract A,13004,2,B,120
Contract A,13004,2,C,120
Contract A,13004,2,D,120
Contract A,13004,2,E,0
Contract A,13005,4,A,0
Contract A,13005,4,B,287
Contract A,13005,4,C,287
Contract A,13005,4,D,287
Contract A,13005,4,E,0
Contract A,13007,2,A,232
Contract A,13007,2,B,0
Contract A,13007,2,C,0
Contract A,13007,2,D,0
Contract A,13007,2,E,0
Contract A,13008,2,A,295
Contract A,13008,2,B,198
Contract A,13008,2,C,198
Contract A,13008,2,D,198
Contract A,13008,2,E,0
Contract A,13009,4,A,0
Contract A,13009,4,B,295
Contract A,13009,4,C,295
Contract A,13009,4,D,295
Contract A,13009,4,E,0
Contract A,13010,4,A,0
Contract A,13010,4,B,287
Contract A,13010,4,C,287
Contract A,13010,4,D,287
Contract A,13010,4,E,0
Contract A,13011,13,A,0
Contract A,13011,13,B,0
Contract A,13011,13,C,0
Contract A,13011,13,D,0
Contract A,13011,13,E,0
Contract A,13012,9,A,0
Contract A,13012,9,B,0
Contract A,13012,9,C,0
Contract A,13012,9,D,0
Contract A,13012,9,E,0
Contract A,14001,4,A,0
Contract A,14001,4,B,295
Contract A,14001,4,C,295
Contract A,14001,4,D,295
Contract A,14001,4,E,0
Contract A,14002,4,A,0
Contract A,14002,4,B,295
Contract A,14002,4,C,295
Contract A,14002,4,D,295
Contract A,14002,4,E,0
Contract A,14003,4,A,0
Contract A,14003,4,B,287
Contract A,14003,4,C,287
Contract A,14003,4,D,287
Contract A,14003,4,E,0
Contract A,16001,2,A,270
Contract A,16001,2,B,170
Contract A,16001,2,C,170
Contract A,16001,2,D,170
Contract A,16001,2,E,397
Contract A,16002,2,A,195
Contract A,16002,2,B,126
Contract A,16002,2,C,126
Contract A,16002,2,D,126
Contract A,16002,2,E,360
Contract A,16003,4,A,0
Contract A,16003,4,B,295
Contract A,16003,4,C,295
Contract A,16003,4,D,295
Contract A,16003,4,E,0
Contract A,16004,4,A,0
Contract A,16004,4,B,302
Contract A,16004,4,C,302
Contract A,16004,4,D,302
Contract A,16004,4,E,0
Contract A,16005,3,A,0
Contract A,16005,3,B,265
Contract A,16005,3,C,265
Contract A,16005,3,D,265
Contract A,16005,3,E,0
Contract A,16006,4,A,0
Contract A,16006,4,B,275
Contract A,16006,4,C,275
Contract A,16006,4,D,275
Contract A,16006,4,E,0
Contract A,16007,3,A,0
Contract A,16007,3,B,223
Contract A,16007,3,C,223
Contract A,16007,3,D,223
Contract A,16007,3,E,0
Contract A,16008,3,A,0
Contract A,16008,3,B,223
Contract A,16008,3,C,223
Contract A,16008,3,D,223
Contract A,16008,3,E,0
Contract A,16009,4,A,0
Contract A,16009,4,B,292
Contract A,16009,4,C,292
Contract A,16009,4,D,292
Contract A,16009,4,E,0
Contract A,16010,4,A,0
Contract A,16010,4,B,312
Contract A,16010,4,C,312
Contract A,16010,4,D,312
Contract A,16010,4,E,0
Contract A,16011,2,A,257
Contract A,16011,2,B,202
Contract A,16011,2,C,202
Contract A,16011,2,D,202
Contract A,16011,2,E,419
Contract A,16012,2,A,214
Contract A,16012,2,B,148
Contract A,16012,2,C,148
Contract A,16012,2,D,148
Contract A,16012,2,E,0
Contract A,16013,3,A,0
Contract A,16013,3,B,260
Contract A,16013,3,C,260
Contract A,16013,3,D,260
Contract A,16013,3,E,0
Contract A,16014,11,A,0
Contract A,16014,11,B,0
Contract A,16014,11,C,0
Contract A,16014,11,D,0
Contract A,16014,11,E,0
Contract A,16015,51,A,0
Contract A,16015,51,B,0
Contract A,16015,51,C,0
Contract A,16015,51,D,0
Contract A,16015,51,E,0
Contract A,16016,4,A,0
Contract A,16016,4,B,295
Contract A,16016,4,C,295
Contract A,16016,4,D,295
Contract A,16016,4,E,0
Contract A,16017,3,A,0
Contract A,16017,3,B,260
Contract A,16017,3,C,260
Contract A,16017,3,D,260
Contract A,16017,3,E,0
Contract A,16018,2,A,365
Contract A,16018,2,B,260
Contract A,16018,2,C,260
Contract A,16018,2,D,260
Contract A,16018,2,E,0
Contract A,16019,2,A,245
Contract A,16019,2,B,166
Contract A,16019,2,C,166
Contract A,16019,2,D,166
Contract A,16019,2,E,0
Contract A,16020,3,A,0
Contract A,16020,3,B,280
Contract A,16020,3,C,280
Contract A,16020,3,D,280
Contract A,16020,3,E,0
Contract A,16021,3,A,0
Contract A,16021,3,B,265
Contract A,16021,3,C,265
Contract A,16021,3,D,265
Contract A,16021,3,E,0
Contract A,16022,4,A,0
Contract A,16022,4,B,315
Contract A,16022,4,C,315
Contract A,16022,4,D,315
Contract A,16022,4,E,0
Contract A,16023,1,A,132
Contract A,16023,1,B,97
Contract A,16023,1,C,97
Contract A,16023,1,D,97
Contract A,16023,1,E,200
Contract A,16024,4,A,0
Contract A,16024,4,B,296
Contract A,16024,4,C,296
Contract A,16024,4,D,296
Contract A,16024,4,E,0
Contract A,16025,12,A,0
Contract A,16025,12,B,0
Contract A,16025,12,C,0
Contract A,16025,12,D,0
Contract A,16025,12,E,0
Contract A,16028,2,A,365
Contract A,16028,2,B,223
Contract A,16028,2,C,223
Contract A,16028,2,D,223
Contract A,16028,2,E,0
Contract A,16029,17,A,0
Contract A,16029,17,B,353
Contract A,16029,17,C,353
Contract A,16029,17,D,353
Contract A,16029,17,E,0
Contract A,16030,3,A,0
Contract A,16030,3,B,266
Contract A,16030,3,C,266
Contract A,16030,3,D,266
Contract A,16030,3,E,0
Contract A,18001,2,A,195
Contract A,18001,2,B,126
Contract A,18001,2,C,126
Contract A,18001,2,D,126
Contract A,18001,2,E,360
Contract A,18003,3,A,0
Contract A,18003,3,B,265
Contract A,18003,3,C,265
Contract A,18003,3,D,265
Contract A,18003,3,E,0
Contract A,19001,3,A,0
Contract A,19001,3,B,276
Contract A,19001,3,C,276
Contract A,19001,3,D,276
Contract A,19001,3,E,0
Contract A,19002,3,A,0
Contract A,19002,3,B,256
Contract A,19002,3,C,256
Contract A,19002,3,D,256
Contract A,19002,3,E,0
Contract A,19003,2,A,100
Contract A,19003,2,B,76
Contract A,19003,2,C,76
Contract A,19003,2,D,76
Contract A,19003,2,E,172
Contract A,19004,4,A,0
Contract A,19004,4,B,292
Contract A,19004,4,C,292
Contract A,19004,4,D,292
Contract A,19004,4,E,0
Contract A,19005,4,A,0
Contract A,19005,4,B,353
Contract A,19005,4,C,353
Contract A,19005,4,D,353
Contract A,19005,4,E,0
Contract A,19006,3,A,0
Contract A,19006,3,B,208
Contract A,19006,3,C,208
Contract A,19006,3,D,208
Contract A,19006,3,E,0
Contract A,19007,3,A,0
Contract A,19007,3,B,280
Contract A,19007,3,C,280
Contract A,19007,3,D,280
Contract A,19007,3,E,0
Contract A,19008,2,A,259
Contract A,19008,2,B,166
Contract A,19008,2,C,166
Contract A,19008,2,D,166
Contract A,19008,2,E,0
Contract A,19009,2,A,245
Contract A,19009,2,B,166
Contract A,19009,2,C,166
Contract A,19009,2,D,166
Contract A,19009,2,E,0
Contract A,19010,3,A,0
Contract A,19010,3,B,0
Contract A,19010,3,C,0
Contract A,19010,3,D,0
Contract A,19010,3,E,0
Contract A,19011,2,A,272
Contract A,19011,2,B,198
Contract A,19011,2,C,198
Contract A,19011,2,D,198
Contract A,19011,2,E,0
Contract A,19012,4,A,0
Contract A,19012,4,B,292
Contract A,19012,4,C,292
Contract A,19012,4,D,292
Contract A,19012,4,E,0
Contract A,19013,4,A,0
Contract A,19013,4,B,292
Contract A,19013,4,C,292
Contract A,19013,4,D,292
Contract A,19013,4,E,0
Contract A,19015,3,A,0
Contract A,19015,3,B,0
Contract A,19015,3,C,0
Contract A,19015,3,D,0
Contract A,19015,3,E,0
Contract A,19016,3,A,0
Contract A,19016,3,B,280
Contract A,19016,3,C,280
Contract A,19016,3,D,280
Contract A,19016,3,E,0
Contract A,19017,2,A,270
Contract A,19017,2,B,170
Contract A,19017,2,C,170
Contract A,19017,2,D,170
Contract A,19017,2,E,397
Contract A,19019,2,A,100
Contract A,19019,2,B,78
Contract A,19019,2,C,78
Contract A,19019,2,D,78
Contract A,19019,2,E,172
Contract A,19020,3,A,0
Contract A,19020,3,B,280
Contract A,19020,3,C,280
Contract A,19020,3,D,280
Contract A,19020,3,E,0
Contract A,19021,17,A,0
Contract A,19021,17,B,380
Contract A,19021,17,C,380
Contract A,19021,17,D,380
Contract A,19021,17,E,0
Contract A,19022,17,A,0
Contract A,19022,17,B,353
Contract A,19022,17,C,353
Contract A,19022,17,D,353
Contract A,19022,17,E,0
Contract A,19023,3,A,0
Contract A,19023,3,B,260
Contract A,19023,3,C,260
Contract A,19023,3,D,260
Contract A,19023,3,E,0
Contract A,20001,2,A,100
Contract A,20001,2,B,78
Contract A,20001,2,C,78
Contract A,20001,2,D,78
Contract A,20001,2,E,172
Contract A,20002,2,A,320
Contract A,20002,2,B,212
Contract A,20002,2,C,212
Contract A,20002,2,D,212
Contract A,20002,2,E,0
Contract A,20003,3,A,0
Contract A,20003,3,B,208
Contract A,20003,3,C,208
Contract A,20003,3,D,208
Contract A,20003,3,E,0
Contract A,20004,3,A,0
Contract A,20004,3,B,276
Contract A,20004,3,C,276
Contract A,20004,3,D,276
Contract A,20004,3,E,0
Contract A,20005,4,A,0
Contract A,20005,4,B,296
Contract A,20005,4,C,296
Contract A,20005,4,D,296
Contract A,20005,4,E,0
Contract A,20006,4,A,0
Contract A,20006,4,B,290
Contract A,20006,4,C,290
Contract A,20006,4,D,290
Contract A,20006,4,E,0
Contract A,20007,3,A,0
Contract A,20007,3,B,0
Contract A,20007,3,C,0
Contract A,20007,3,D,0
Contract A,20007,3,E,0
Contract A,20008,4,A,0
Contract A,20008,4,B,296
Contract A,20008,4,C,296
Contract A,20008,4,D,296
Contract A,20008,4,E,0
Contract A,20010,2,A,93
Contract A,20010,2,B,0
Contract A,20010,2,C,0
Contract A,20010,2,D,0
Contract A,20010,2,E,0
Contract A,20011,2,A,214
Contract A,20011,2,B,0
Contract A,20011,2,C,0
Contract A,20011,2,D,0
Contract A,20011,2,E,0
Contract A,21001,3,A,0
Contract A,21001,3,B,256
Contract A,21001,3,C,256
Contract A,21001,3,D,256
Contract A,21001,3,E,0
Contract A,23001,3,A,0
Contract A,23001,3,B,278
Contract A,23001,3,C,278
Contract A,23001,3,D,278
Contract A,23001,3,E,0
Contract A,23002,3,A,0
Contract A,23002,3,B,280
Contract A,23002,3,C,280
Contract A,23002,3,D,280
Contract A,23002,3,E,0
Contract A,23003,3,A,0
Contract A,23003,3,B,280
Contract A,23003,3,C,280
Contract A,23003,3,D,280
Contract A,23003,3,E,0
Contract A,23004,3,A,0
Contract A,23004,3,B,256
Contract A,23004,3,C,256
Contract A,23004,3,D,256
Contract A,23004,3,E,0
Contract A,25001,3,A,0
Contract A,25001,3,B,280
Contract A,25001,3,C,280
Contract A,25001,3,D,280
Contract A,25001,3,E,0
Contract A,99999,99,A,0
Contract A,99999,99,B,0
Contract A,99999,99,C,0
Contract A,99999,99,D,0
Contract A,99999,99,E,0